Reference, Quantity, Value, Footprint, Datasheet, Field4, PROD_ID
5V1 5V2 5V3 5V4 ADC1 ADC4 GND1 GND2 GND3 GND4 ,10,CONN_04,Connectors:1X04_NO_SILK,,CONN-09696,
C10 C9 ,2,10PF-0603-50V-5%,,,CAP-11812,
C11 ,1,10NF-0603-50V-10%,,,CAP-00867,
C3 C6 ,2,10UF-POLAR-EIA3216-16V-10%_TANT_,,,CAP-00811,
C1 C12 C2 C4 C8 ,5,0.1UF-0603-25V-_+80_-20%_,,,CAP-00810,
C5 ,1,47UF-POLAR-EIA3528-10V-10%,,,CAP-08310,
C7 ,1,1.0UF-0603-16V-10%,,,CAP-00868,
D1 ,1,DIODE-SHOTTKY_MBRA140,,,DIO-08053,
D2 D5 ,2,SPARKFUN-LED_LED-YELLOW-550,,,DIO-13843,
D3 ,1,SPARKFUN-LED_LED-GREEN-550,,,DIO-13847,
D4 ,1,SPARKFUN-LED_LED-RED-550,,,DIO-13844,
F1 ,1,PPTC_HALF-AMP,,,RES-08585,
FD1 FD2 FD3 FD4 ,4,FIDUCIAL1X2,,,XXX-00000,
H1 H2 ,2,STAND-OFF,,,XXX-00000,
J1 ,1,CONN_025MM,SCREWTERMINAL-5MM-2,,CONN-10480,
J17 ,1,QWIIC_CONNECTORJS-1MM,,,CONN-13694,
J2 ,1,CONN_03X2SMT,,,CONN-11415,
J20 ,1,POWER_JACKSMD,Connectors:POWER_JACK_SMD_GND,,CONN-08106,
J4 ,1,USB_MICRO-B_FEMALE-SMT,,,CONN-11752,
JP1 JP2 ,2,JUMPER-SMT_2_NO,,,,XXX-00000
LOGO1 ,1,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME_.1,,XXX-00000,
LOGO2 ,1,OSHW-LOGOS,OSHW-LOGO-S,,XXX-00000,
J5 J6 PWM1 SPI1 ,4,CONN_04,,,CONN-09696,
Q1 ,1,MOSFET_PCH-SI2309DS,,,TRANS-08285,
Q2 Q3 ,2,MOSFET-NCH-BSS138,,,TRANS-00830,
R1 R2 R5 R6 ,4,470OHM-0603-1_10W-1%,,,RES-07869,
R14 ,1,715OHM-0603-1_10W-1%,,,RES-07850,
R15 ,1,240OHM-0603-1_10W-1%,,,RES-07849,
R3 R4 ,2,10KOHM-0603-1_10W-1%,,,RES-00824,
R10 R7 R8 R9 ,4,4.7KOHM-0603-1_10W-1%,,,RES-07857,
S1 ,1,MOMENTARY-SWITCH-SPST-2-PTH-RT-ANGLE,,,CONN-10672,
S2 ,1,ROCKER_SWITCH-SPST_PTH_RIGHT_ANGLE,,,SWCH-08863,
U1 ,1,CH340GSMD,,,IC-13498,
U2 ,1,V_REG_MIC52053.3V,,,VREG-00822,
U3 U5 ,2,Standoff_Grounding,,
U4 ,1,ATMEGA328P_TQFP,,,IC-09069,
U6 ,1,V_REG_LM1117SOT223,,,VREG-08170,
Y1 ,1,RESONATOR-16MHZSMD_3.2X1.3,,,XTAL-08900,
Y2 ,1,CRYSTAL-12MHZ",,,XTAL-08297,
